Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,,C_Small,C2C3C6C7,100nF,C_0805,4,,5c70984712875079b91f8b4c
2,,CP_Small,C1C5,10uF,TantalC_SizeB_EIA-3528_Reflow,2,,5c70984412875079b91f8865
3,,CP1,C4,10uF,TantalC_SizeB_EIA-3528_Reflow,1,,5c70984412875079b91f8865
4,,D_Small,D1D2,M4,SMA_Standard,2,,5c70984512875079b91f88ac
5,,HEADER_2x03_PARALLEL,J19,+5V,Straight_2x03,1,,
6,,HEADER_2x03_PARALLEL,J1,3รท5V,Straight_2x03,1,,
7,,HEADER_2x01_PARALLEL,J2,ACX,Straight_1x02,1,,
8,,HEADER_2x01_PARALLEL,J4,AIN1+,Straight_1x02,1,,
9,,HEADER_2x01_PARALLEL,J5,AIN1-,Straight_1x02,1,,
10,,HEADER_2x01_PARALLEL,J6,AIN2+,Straight_1x02,1,,
11,,HEADER_2x01_PARALLEL,J7,AIN2-,Straight_1x02,1,,
12,,HEADER_2x01_PARALLEL,J16,DIN,Straight_1x02,1,,
13,,HEADER_2x01_PARALLEL,J17,DOUT,Straight_1x02,1,,
14,,HEADER_2x01_PARALLEL,J23,GND,Straight_1x02,1,,
15,,HEADER_2x01_PARALLEL,J20,MCLKIN,Straight_1x02,1,,
16,,HEADER_2x01_PARALLEL,J21,MCLKOUT,Straight_1x02,1,,
17,,HEADER_1x03,J10,POL,Straight_1x03,1,,
18,,HEADER_2x01_PARALLEL,J9,REFIN+,Straight_1x02,1,,
19,,HEADER_2x01_PARALLEL,J8,REFIN-,Straight_1x02,1,,
20,,HEADER_2x01_PARALLEL,J15,SCLK,Straight_1x02,1,,
21,,HEADER_2x01_PARALLEL,J22,VAA,Straight_1x02,1,,
22,,HEADER_2x01_PARALLEL,J3,~ACX,Straight_1x02,1,,
23,,HEADER_2x01_PARALLEL,J14,~CS,Straight_1x02,1,,
24,,HEADER_2x01_PARALLEL,J13,~RDY,Straight_1x02,1,,
25,,HEADER_2x01_PARALLEL,J11,~RESET,Straight_1x02,1,,
26,,HEADER_2x01_PARALLEL,J18,~STANDBY,Straight_1x02,1,,
27,,HEADER_2x01_PARALLEL,J12,~SYNC,Straight_1x02,1,,
28,,INDUCTOR,L1L2,BLM21PG300SN1D,C_0805,2,,5c70984412875079b91f87fd
29,,R,R1R2R3,10k,R_0805,3,,5c70984612875079b91f899f
30,,AD7730,U2,AD7730,TSSOP-24_4.4x7.8mm_Pitch0.65mm,1,,5c70984612875079b91f8a14
31,,MIC4426,U1,MIC4426,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,,5c70984612875079b91f8a06
32,,Crystal_Small,Y1,4.9152 MHz,Crystal_HC49-U_Vertical,1,,5c70984712875079b91f8b0d
